domain,status,display_price,BIN_price,min_offer,notes
smartfonewarehouse.co.uk,PREMIUM,1609,1884,719,Mobile Device
smartfonewarehouse.com,PREMIUM,2489,2882,1115,Mobile Device
smartfonewarehouse.net,PREMIUM,1589,1908,672,Mobile Device
smartfonewarehouse.org,PREMIUM,1918,2250,897,Mobile Device
smartphonemegastore.com,PREMIUM,2318,2719,991,Mobile Device
smartphoneshopper.com,PREMIUM,2151,2544,904,Mobile Device
snapzz.co.uk,FOR_SALE,310,430,201,Brandable
spacexjunk.co.uk,FOR_SALE,594,813,448,Circular
spacexjunk.com,FOR_SALE,416,654,315,Circular
spudyoulike.com,FOR_SALE,468,520,380,Hospatility 
stacksmobile.co.uk,FOR_SALE,720,962,424,Mobile Device
stacksmobile.com,PREMIUM,2660,3173,1114,Mobile Device
starleo.co.uk,PREMIUM,2441,2855,1054,LEO
starlinked.uk,FOR_SALE,939,1364,687,LEO
stinkingcheap.co.uk,FOR_SALE,414,605,305,Brandable
stinkingcheap.com,PREMIUM,2902,3346,1187,Brandable
supercircle.uk,PREMIUM,1482,1784,620,Circular
supercycle.uk,FOR_SALE,515,639,397,Circular
supercyclers.co.uk,FOR_SALE,731,986,556,Circular
swapstock.co.uk,PREMIUM,2189,2555,944,Brandable
swapstock.com,PREMIUM,4092,4705,1708,Brandable
talkagain.co.uk,FOR_SALE,541,787,342,Circular
thepropertyregister.co.uk,FOR_SALE,1421,1688,592,Brandable
thepropertyregister.com,PREMIUM,2361,2731,974,Brandable
therighttorepair.co.uk,FOR_SALE,558,837,391,Circular
toughwork.co.uk,FOR_SALE,352,491,272,Brandable
tradeins.co.uk,PREMIUM,1898,2258,798,Circular
tradeupgrade.co.uk,PREMIUM,1860,2218,821,Circular
ubermaneuver.co.uk,FOR_SALE,469,627,327,Brandable
ubermanoeuvre.com,PREMIUM,3003,3495,1281,Brandable
upgrademobile.co.uk,FOR_SALE,517,759,349,Circular
victorvalue.co.uk,FOR_SALE,1531,1816,640,Brandable
voda.co.uk,PREMIUM,9735,11272,3952,Circular
w1cpo.co.uk,FOR_SALE,499,615,380,Brandable
w1cpo.com,PREMIUM,8552,9853,3450,Brandable
w1domain.co.uk,FOR_SALE,509,593,388,Brandable
w1domains.co.uk,FOR_SALE,323,417,222,Brandable
w1plc.com,PREMIUM,8597,9916,3480,Brandable
webuyyourphone.com,PREMIUM,2567,3021,1101,Circular
west1.co.uk,PREMIUM,4304,4999,1746,Brandable
wifi1.co.uk,PREMIUM,12348,15058,5468,Premium
wifirouter.co.uk,PREMIUM,7494,9096,3180,Premium
wizardwine.co.uk,PREMIUM,2138,2499,933,Brandable
youo.co.uk,PREMIUM,16270,19546,7058,Premium

ywifi.co.uk,PREMIUM,12702,15528,5575,Premium
